iter	RMSE
0	151.6374158
1	146.6877172
2	141.588854
3	136.6508689
4	132.3325354
5	127.7477823
6	123.6356744
7	119.4201739
8	115.3384251
9	111.500638
10	107.700952
11	104.0206419
12	100.459612
13	97.10204885
14	93.80364733
15	90.57905694
16	87.51108196
17	84.71332642
18	82.12803498
19	79.47806294
20	76.93578253
21	74.39206339
22	71.93933113
23	69.62407911
24	67.40890837
25	65.21064538
26	63.25878024
27	61.26431577
28	59.37259743
29	57.5930393
30	55.89464685
31	54.14406095
32	52.7007807
33	51.1035697
34	49.59959389
35	48.11808898
36	46.80285657
37	45.49916521
38	44.23746329
39	43.0942183
40	41.94815362
41	40.82156817
42	39.81002238
43	38.72496365
44	37.76864506
45	36.76541343
46	35.90990765
47	35.05677483
48	34.18830155
49	33.33528048
50	32.55052067
51	31.84434651
52	31.09855071
53	30.33945927
54	29.64414502
55	29.01546378
56	28.38668745
57	27.81893881
58	27.22711586
59	26.67901228
60	26.12319509
61	25.59529279
62	25.15811253
63	24.75236437
64	24.33303139
65	23.93033097
66	23.53089861
67	23.11032168
68	22.72051177
69	22.40656974
70	22.06136313
71	21.7399472
72	21.43568274
73	21.17033012
74	20.89364014
75	20.59030788
76	20.31915229
77	20.03911807
78	19.80146989
79	19.57735061
80	19.33080063
81	19.08605359
82	18.87907481
83	18.66843085
84	18.46978127
85	18.2876884
86	18.1163045
87	17.91675426
88	17.69926984
89	17.54787309
90	17.39731465
91	17.23015077
92	17.07178286
93	16.93348765
94	16.79042902
95	16.67162956
96	16.53899409
97	16.42259008
98	16.29405649
99	16.1696297
100	16.06194437
101	15.95250688
102	15.8502722
103	15.73086381
104	15.64587743
105	15.55164059
106	15.47843023
107	15.37158818
108	15.29801491
109	15.22999758
110	15.14259684
111	15.05207097
112	14.95894109
113	14.87787096
114	14.82000691
115	14.76905829
116	14.69920527
117	14.63358531
118	14.56617897
119	14.51230715
120	14.4385653
121	14.3732686
122	14.31522001
123	14.24753362
124	14.20585429
125	14.16028925
126	14.09987686
127	14.06037904
128	14.00162607
129	13.95280093
130	13.90207937
131	13.836156
132	13.79294754
133	13.74198122
134	13.70023864
135	13.65954851
136	13.61430349
137	13.55954398
138	13.5176742
139	13.47465875
140	13.43253075
141	13.38615981
142	13.35477945
143	13.315417
144	13.27664803
145	13.23738291
146	13.1893257
147	13.15406024
148	13.11194465
149	13.07681149
150	13.04361091
151	12.99856934
152	12.97221972
153	12.93154916
154	12.90186759
155	12.86968616
156	12.83782641
157	12.80790072
158	12.78534884
159	12.7589273
160	12.72584815
161	12.691147
162	12.6661518
163	12.63440273
164	12.60650833
165	12.58705667
166	12.56044994
167	12.52935262
168	12.50002844
169	12.46988343
170	12.45037672
171	12.41428476
172	12.38479254
173	12.35852525
174	12.34255999
175	12.31998552
176	12.29806373
177	12.26557271
178	12.23591038
179	12.21476844
180	12.18579787
181	12.16747261
182	12.14219469
183	12.10630882
184	12.06714146
185	12.04685936
186	12.02770414
187	12.01224955
188	11.97371198
189	11.95240859
190	11.9206399
191	11.91082896
192	11.87987607
193	11.84851369
194	11.81619689
195	11.79141181
196	11.77153301
197	11.73567478
198	11.70781154
199	11.68297453
200	11.67001339
201	11.64766475
202	11.60857128
203	11.59216712
204	11.56405894
205	11.5421559
206	11.52795561
207	11.51755879
208	11.48660025
209	11.472704
210	11.45090327
211	11.43761087
212	11.42017917
213	11.39213241
214	11.37618719
215	11.35547268
216	11.33510348
217	11.3135484
218	11.29939486
219	11.27154507
220	11.26296579
221	11.24841378
222	11.22922408
223	11.2038273
224	11.18041092
225	11.16332636
226	11.13795957
227	11.10524285
228	11.079981
229	11.06526007
230	11.05649839
231	11.03791779
232	11.02843635
233	11.00304658
234	10.9823832
235	10.9628432
236	10.94673411
237	10.94428121
238	10.9157958
239	10.90217954
240	10.8949301
241	10.89031798
242	10.88485793
243	10.86692303
244	10.86002314
245	10.84427205
246	10.82968251
247	10.80851148
248	10.80083172
249	10.79542253
250	10.78625707
251	10.78258685
252	10.76454494
253	10.74171391
254	10.73559891
255	10.71842106
256	10.71029384
257	10.70697486
258	10.68345668
259	10.67347212
260	10.65094829
261	10.64610426
262	10.6339554
263	10.62434227
264	10.61116867
265	10.60752491
266	10.59177375
267	10.56092854
268	10.55433408
269	10.55146844
270	10.54739923
271	10.53421599
272	10.50882556
273	10.49408762
274	10.48780891
275	10.48422439
276	10.48253557
277	10.47616533
278	10.46209731
279	10.45964548
280	10.44142556
281	10.43054474
282	10.40842669
283	10.38031819
284	10.37688031
285	10.36333385
286	10.3429242
287	10.339354
288	10.31550046
289	10.30411052
290	10.28541667
291	10.26706461
292	10.26518274
293	10.25327946
294	10.24994873
295	10.23996507
296	10.22406184
297	10.22127628
298	10.19720034
299	10.18660876
300	10.16200087
301	10.15836039
302	10.14646076
303	10.14479834
304	10.13697949
305	10.12998814
306	10.12825211
307	10.10792533
308	10.08335377
309	10.05872779
310	10.05618728
311	10.04958516
312	10.04391245
313	10.04106851
314	10.03494829
315	10.01021678
316	10.00801466
317	9.992453151
318	9.976334273
319	9.954135089
320	9.950860527
321	9.948616011
322	9.931869592
323	9.922502951
324	9.914140933
325	9.904892968
326	9.883938357
327	9.861990552
328	9.846475422
329	9.831074801
330	9.807750684
331	9.806273266
332	9.793130782
333	9.777190316
334	9.768592169
335	9.75172934
336	9.74475657
337	9.742642064
338	9.716664061
339	9.712581363
340	9.71102408
341	9.689349565
342	9.679824027
343	9.677965673
344	9.663554443
345	9.655137146
346	9.639998109
347	9.623357986
348	9.603795035
349	9.602014451
350	9.588730872
351	9.586625363
352	9.578209022
353	9.568284165
354	9.558449426
355	9.556495144
356	9.539664804
357	9.529447716
358	9.52426534
359	9.514428279
360	9.493133379
361	9.487797997
362	9.464313157
363	9.462943573
364	9.444580473
365	9.43859237
366	9.425242366
367	9.415580728
368	9.40930751
369	9.391015415
370	9.389056759
371	9.380722645
372	9.372398515
373	9.366966376
374	9.358964584
375	9.351032809
376	9.337645809
377	9.331740081
378	9.317046933
379	9.302987207
380	9.297526318
381	9.281287203
382	9.261465761
383	9.241662507
384	9.230172173
385	9.228455168
386	9.223774384
387	9.218128963
388	9.216827916
389	9.204257748
390	9.183944449
391	9.174799015
392	9.169624957
393	9.160989446
394	9.148001917
395	9.134391976
396	9.126434762
397	9.120834235
398	9.115907877
399	9.099760087
400	9.085226753
401	9.072265953
402	9.054521542
403	9.042085601
404	9.027889541
405	9.022012888
406	9.018733773
407	9.014163422
408	9.009682332
409	9.005536665
410	8.99057202
411	8.976717716
412	8.970304056
413	8.956467052
414	8.942390198
415	8.940939756
416	8.935372109
417	8.929849145
418	8.916532217
419	8.906496264
420	8.893402973
421	8.88251859
422	8.873609551
423	8.872731797
424	8.866843074
425	8.85173019
426	8.830854433
427	8.818074484
428	8.808606235
429	8.804023782
430	8.790357165
431	8.779276436
432	8.768486006
433	8.749051939
434	8.742820577
435	8.735285389
436	8.723100047
437	8.703655241
438	8.689899862
439	8.678907807
440	8.674050507
441	8.671153033
442	8.665962401
443	8.661834071
444	8.641700822
445	8.640116765
446	8.62470688
447	8.619880235
448	8.601479114
449	8.596312672
450	8.584626847
451	8.579797854
452	8.573745046
453	8.57220516
454	8.570812365
455	8.551199818
456	8.547362055
457	8.530891031
458	8.517742015
459	8.502295111
460	8.487345871
461	8.481590103
462	8.477501938
463	8.476630403
464	8.473456241
465	8.469697334
466	8.457579963
467	8.454496852
468	8.445202981
469	8.437533068
470	8.433405639
471	8.432001067
472	8.429528114
473	8.419365273
474	8.412483473
475	8.405953372
476	8.398176047
477	8.396865811
478	8.3877411
479	8.382610781
480	8.372046382
481	8.3595393
482	8.344041505
483	8.343213085
484	8.3367508
485	8.332534379
486	8.324217907
487	8.323014024
488	8.31371587
489	8.302611887
490	8.301390141
491	8.291173776
492	8.289683812
493	8.286441229
494	8.267076493
