,ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,LevelInSampleRMSE,LevelInSampleMAPE,LevelInSampleMAE,LevelInSampleR2,best_model,Series,FcstMAPE,ObjectEstimator,Used Anomalies
108,lightgbm_cv_uv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 200, 'boosting_type': 'gbdt', 'max_depth': 1, 'learning_rate': 0.01}",minmax,249,True,True,True,0,4,56617.06832837804,0.1709062474804246,50579.23328257806,-0.12521538779361308,346242.840194981,252301.0,0.95,134883.1852228512,63464.80172728574,0.3406132621816997,47380.73408148658,0.6058179787418907,,rmse,108037.626412666,,,56617.06832837804,0.1709062474804246,50579.23328257806,-0.12521538779361308,63464.80172728574,0.3406132621816997,47380.73408148658,0.6058179787418907,False,IAH-Int,0.0671407481211099,Forecaster,False
109,xgboost_tune_uv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 200, 'scale_pos_weight': 5, 'learning_rate': 0.2, 'gamma': 3, 'subsample': 0.9}",minmax,249,True,False,True,0,4,73580.06608366138,0.17138102079732198,61079.765625,-0.9004710340365643,230970.5,252301.0,0.95,54.76205953027964,27.742243709987378,6.34946941253369e-05,19.935074640551644,0.9999999246793391,36,rmse,218866.99884918632,,,73580.06608366138,0.17138102079732198,61079.765625,-0.9004710340365643,27.742243709987378,6.34946941253369e-05,19.935074640551644,0.9999999246793391,False,IAH-Int,0.08704822744995752,Forecaster,False
110,lightgbm_tune_uv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 150, 'boosting_type': 'goss', 'max_depth': 1, 'learning_rate': 0.001}",minmax,249,True,False,True,0,4,59178.772021796234,0.17232306606297024,49652.5,-0.22934224507678258,354287.13130593084,252301.0,0.95,201652.46684381837,95655.8384676331,0.5216684405985824,71298.05224199427,0.10452405776818963,36,rmse,187529.54739065468,,,59178.772021796234,0.17232306606297024,49652.5,-0.22934224507678258,95655.8384676331,0.5216684405985824,71298.05224199427,0.10452405776818963,False,IAH-Int,0.12072764982792251,Forecaster,False
111,mlp_tune_uv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs'}",minmax,249,True,False,True,0,4,59481.658566794045,0.17266044602801364,49652.5,-0.24195839405832564,354980.7667124158,252301.0,0.95,233510.46746841818,101084.48935833086,0.5550814222269816,75047.88899565731,-1.5543122344752192e-15,36,rmse,185678.05106403364,,,59481.658566794045,0.17266044602801364,49652.5,-0.24195839405832564,101084.48935833086,0.5550814222269816,75047.88899565731,-1.5543122344752192e-15,False,IAH-Int,0.12260207289245059,Forecaster,False
112,mlp_tune_mv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,False,True,0,4,59481.659054795346,0.1726604465657782,49652.5,-0.2419584144369542,354980.76781803137,252301.0,0.95,166715.0276403641,101084.48935833461,0.5550813859003495,75047.88956428219,-7.593925488436071e-14,36,mae,92561.56849664316,,,59481.659054795346,0.1726604465657782,49652.5,-0.2419584144369542,101084.48935833461,0.5550813859003495,75047.88956428219,-7.593925488436071e-14,False,IAH-Int,0.12260200769080747,Forecaster,False
113,mlp_cv_mv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,True,True,0,4,72222.82443600292,0.1803314742565715,50315.79103131688,-0.8310063252737854,386778.58206263377,252301.0,0.95,157561.44471205672,101084.4893583308,0.5550814292403188,75047.88888587676,-2.220446049250313e-16,,mae,65761.71674272016,,,72222.82443600292,0.1803314742565715,50315.79103131688,-0.8310063252737854,101084.4893583308,0.5550814292403188,75047.88888587676,-2.220446049250313e-16,False,IAH-Int,0.11918730906300773,Forecaster,False
114,lightgbm_cv_mv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 150, 'boosting_type': 'goss', 'max_depth': 1, 'learning_rate': 0.01}",minmax,249,True,True,True,0,4,74039.13148238165,0.19585314611147747,53734.921593577135,-0.9242590547312717,379574.76948440453,252301.0,0.95,144690.30373047566,65934.89843974459,0.3624681886048018,48722.93748522616,0.5745371547504997,,mae,60923.70701790499,,,74039.13148238165,0.19585314611147747,53734.921593577135,-0.9242590547312717,65934.89843974459,0.3624681886048018,48722.93748522616,0.5745371547504997,False,IAH-Int,0.12415419977315195,Forecaster,False
115,xgboost_tune_mv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 200, 'scale_pos_weight': 5, 'learning_rate': 0.1, 'gamma': 3, 'subsample': 0.9}",minmax,249,True,False,True,0,4,71912.0034336654,0.20145104182515344,66985.3984375,-0.8152802555067724,313428.46875,252301.0,0.95,202.60828150596686,130.48154499211074,0.0003321444913305903,96.50745947036386,0.9999983337922976,36,mae,96395.64348958334,,,71912.0034336654,0.20145104182515344,66985.3984375,-0.8152802555067724,130.48154499211074,0.0003321444913305903,96.50745947036386,0.9999983337922976,False,IAH-Int,0.13127451357201803,Forecaster,False
116,elasticnet_cv_uv,elasticnet,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'alpha': 0.1, 'l1_ratio': 0.25}",minmax,249,True,True,True,0,4,76907.8626539902,0.203073143655373,70218.9896610959,-1.0762631291690297,223792.6192541552,252301.0,0.95,139204.98359162576,59233.71670146554,0.35258231084746644,42516.35703391385,0.6566248005149073,,rmse,101811.60236170441,,,76907.8626539902,0.203073143655373,70218.9896610959,-1.0762631291690297,59233.71670146554,0.35258231084746644,42516.35703391385,0.6566248005149073,False,IAH-Int,0.12111954527621954,Forecaster,False
117,knn_cv_mv,knn,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{'n_neighbors': 54},minmax,249,True,True,True,0,4,75516.96326383264,0.20680246044633915,58082.148148148146,-1.00184267226919,367832.8888888889,252301.0,0.95,111490.98195236558,71547.99658651448,0.455577572329126,40013.59946096332,0.49901362809296,,mae,60332.51090534978,,,75516.96326383264,0.20680246044633915,58082.148148148146,-1.00184267226919,71547.99658651448,0.455577572329126,40013.59946096332,0.49901362809296,False,IAH-Int,0.08286054317376171,Forecaster,False
