V1,auto_select,avg_top_2,avg_top_4,avg_top_6,elasticnet,gbt,knn,lightgbm,svr,weighted_top_2,weighted_top_4,weighted_top_6,xgboost
W1,1.7768128200762174,1.8459075257100277,1.8247221390814063,1.817637020903721,2.16166084522689,1.957713335052807,5.647215036320448,1.7768128200762174,4.50364481173398,1.7818795692828044,1.787285123493823,1.7906197429976023,2.536025795416635
W2,5.260332998977437,5.270198341890874,5.26229054308385,5.258849130997033,5.550177909430469,5.326958984286818,5.304752476659804,5.325627837912903,5.260332998977437,5.238591384998594,5.241653552282173,5.2435426103212865,5.235721227587264
W3,0.6536449819138703,0.6217361607046765,0.6290456838435454,0.6322284398707102,0.6536449819138703,1.006486484289079,2.0728633879666085,1.185269736530807,0.5898603236729391,0.6509846524944883,0.6481471480308196,0.6463970955189532,1.3527996128862878
W4,4.969942140691928,5.5614396702927165,5.5523976899504826,5.548510591430156,5.695125011748284,5.522044875547495,4.969942140691928,5.881067122256811,6.143807113114661,5.5253218316716906,5.529098124824797,5.531338856008792,6.422485907415831
W5,24.570418572144593,24.570336727079308,24.570355483231843,24.57036364875964,24.570418572144593,22.10865061854871,33.74958052890798,21.69367650263995,13.13427314310826,24.57041175171886,24.57040447641283,24.57039998897915,24.570254882105587
W6,7.648487200543855,7.1752880823627265,6.629092466387491,6.401531891987721,10.553092016310679,10.438266161379872,10.784877160361326,10.024863487121586,7.648487200543855,7.313612801879977,6.956413387292507,6.81957226033502,10.374243571148687
W7,54.00836185106211,35.38066137322189,35.778618089898856,35.924183730074525,26.46358344757802,53.311209487558365,54.00836185106211,51.253993437152175,108.84822043342399,37.01208100447304,36.665032548384005,36.51980706447737,26.4634797603413
W8,14.870966951917937,14.390717582385953,14.528132170562124,14.587506983148474,15.070789184501995,14.303339560583591,18.29038697506073,14.117209955202345,16.469003429939388,14.997641185626955,14.919370665679205,14.870966951917937,14.894188252380774
W9,12.804226211521586,8.765255354358576,9.209433918420753,9.382629394238739,10.206843473828286,8.806932003289274,12.804226211521586,8.645762004081863,15.871143199780427,12.29966066424616,11.410832753490565,11.009345444320331,10.822185245312953
W10,5.409502572703545,5.559841646336203,5.5501247747420175,5.546650546827828,5.409502572703545,6.17585886594848,5.154361401308876,5.095427489808735,6.037230691318526,5.520984817894758,5.529282814198014,5.532654997398991,9.146662527131813
W11,17.29132791564732,16.211566337187357,15.956245494973142,15.868020284040954,29.59544841181687,5.547361884600932,31.191810057648457,8.528947254623755,17.29132791564732,15.195437250403751,15.42843851261893,15.514173291151995,20.302424625920523
W12,2.177057034069147,2.1385374523175704,2.1473566670292006,2.1511976499361283,2.4759625017055886,2.104282938737071,2.177057034069147,2.1001105659513404,2.9532390484539697,2.173843527021172,2.1704164084782276,2.1683029152481237,2.475964079502807
W13,7.536143554868538,7.520060729793995,7.524075389956771,7.5254828934855205,4.129124431288992,6.805056799239102,10.791981570946229,7.717303756992812,7.332106781264882,7.536143554868538,7.532527832447408,7.531152881132227,6.815628331135397
W14,4.697836104518514,3.396767827397481,3.117111674590724,3.0024625460673384,3.0525960693587253,2.4613818703324797,2.430534191071322,2.5266135423606064,4.697836104518514,2.4829159665432217,2.5387101239712297,2.580512608048373,2.4066264289833357
W15,10.622257161056629,7.632255660675683,8.024874568635228,8.305658273329815,14.028010139684904,10.622257161056629,14.548739732822764,17.99256655977431,21.005984007089467,10.296700209671416,9.939380343488073,9.719660157459131,8.088129471344626
W16,8.926570195856682,8.762435118509956,8.79845421249645,8.818171400052178,13.444943618876115,10.877676774645215,13.882450529806997,16.321862911762636,20.596196557743397,8.913554088473598,8.926570195856682,8.907002011016504,8.774425622928534
W17,1.676591116969496,1.676591116969496,1.6806684817955517,1.6833735965617214,1.428134226146174,1.7054912972158764,1.6740916286978362,1.7177777749868124,1.7015505093177243,1.6992950248774903,1.6968885706312313,1.695403981899501,1.7345795569041325
W18,5.130045038382527,5.456019172626494,5.381411001576537,5.348912690225185,5.130045038382527,7.765636295086242,21.463591193634343,9.075380432499525,5.780926725570969,5.1572503065381,5.186261831530122,5.204152036194468,6.212319636028795
W19,16.293578966342412,14.263631517647351,14.711645244545405,14.904179203883789,9.591963339668302,14.564534644255566,62.93724140916689,12.218532340308256,13.182555378060453,16.293578966342412,16.066850701611163,15.926973518803308,16.5030496566608
W20,8.786898862226684,8.711819637329354,8.730597992175541,8.737207738401082,7.06073722299712,7.3631113525426155,7.898280953616539,7.1774706141599784,10.482712878615212,8.786898862226684,8.770245880011144,8.763810346317365,7.16235908959452
W21,12.931688185330541,12.90587152303811,12.931688185330541,12.945448496984444,16.306311093838058,16.09627196501883,13.958601107906357,15.143292928375063,13.500444696661983,13.35983512297936,13.238092946187757,13.167011491884995,15.76062183018165
W22,11.001097656379061,11.012660212963171,11.004390112100095,11.001097656379061,10.980574357166592,25.307168268086315,21.763297799022304,16.756561536522668,11.055190978170875,10.982852848433728,10.986061592246136,10.987928431346065,26.72948162033392
W23,6.176649913825933,5.49634636882964,5.592216807453693,5.6394599929336,5.889522199424072,13.642954233998372,7.987013533509731,6.028228683162602,6.176649913825933,6.097052184452994,6.01188837953426,5.959226501382818,5.060434162016908
W24,64.93904409871224,64.32711382286726,64.18714739111499,64.12624417270256,26.25669513483528,63.7170924610719,79.24686085690955,59.03478081400911,128.86048084800535,63.767853817216334,63.822015502254445,63.85543025348399,64.93904409871224
W25,11.96271465236277,11.853523960979425,11.85543411959746,11.856078828596349,11.96271465236277,16.611930094226302,32.19564340979485,16.19924451957876,15.952470871711434,11.861161039835705,11.85930134800604,11.858666892572751,13.24950676481746
W26,47.79177581834676,51.69429305114326,50.51515657147926,50.00607513126973,25.91853698261187,17.475677637602175,32.279012420227275,17.475676494132557,57.00550637935782,47.0956186729126,47.52559932929599,47.79177581834676,46.69426466899355
W27,28.580666586011645,16.65795497271371,15.890003522674922,15.584226883155534,40.86393920553329,13.559280332650541,11.950570489762939,19.928512568723942,28.580666586011645,13.738392002914445,14.04542843138888,14.268164209066999,11.770519038566249
W28,40.46108886789012,46.245722494223365,47.24441858934229,47.67285104082561,48.50378163265108,194.07608391143586,40.46108886789012,50.459151528238145,41.63345165975634,50.12189315386601,49.75947168759082,49.53453994138303,194.73243833453452
W29,55.73496415849015,56.31966642191843,56.3324595304269,56.33715587418714,56.96229900880393,26.07228728370881,19.082146973405173,25.40678235603819,55.73496415849015,56.3709897878245,56.360688310558075,56.35613680342904,36.017311003464485
W30,8.453426747922736,8.383877059615072,8.374868846926683,8.397450155554543,8.64600135763187,8.335227180091657,8.552835152363622,8.244218034086598,99.27157013974902,8.533500642866212,8.51083665572337,8.497165781740238,8.453426747922736
