V1,auto_select,avg_all,avg_top2,avg_top4,elasticnet,knn,lasso,lightgbm,ridge,xgboost
H1,2.563149000844968,6.803813571921581,3.492696555702218,4.500056182281049,14.405354999778359,2.563149000844968,16.38839988308408,4.835981470302106,9.977354803405154,8.167442097228806
H2,3.368658138568925,3.368658138568925,5.0412276862772725,5.16751471466985,5.319190065934887,9.043655870071424,4.807512287213772,9.426889900049948,5.59474893068355,3.6510236243110947
H3,12.992972174244835,8.604792623248134,10.26812195277007,9.69170439498831,7.764071610790231,10.921346159119741,12.992972174244835,5.917198676094352,7.432816223166682,8.145446197128281
H4,11.19198365269031,10.281625483574242,14.155940006460119,11.786718399589176,6.670255193355031,11.19198365269031,6.926662905807516,6.362596168464271,6.956685848033742,25.351053542543838
H5,21.327656593145445,17.716867552174513,18.49137058519814,16.307852015471894,19.4384522165237,21.327656593145445,20.279524803174333,16.664844611172885,19.222884983678657,9.424897466075658
H6,6.60233631670745,5.199252861343244,5.750415073181854,6.003820566460952,3.841919538891085,6.60233631670745,3.8320892562467885,4.9031274535382865,6.738107279690846,4.356559634031383
H7,1.3174998711273362,1.3174998711273362,1.4390350962314034,1.4637601406244602,2.8428530606303974,3.402760734418224,2.657505254590526,2.789026933335455,2.4831631294812944,2.075366199831429
H8,3.439541901245169,3.3703136260376145,3.095792361794027,3.1979266475438695,3.6459995836898775,3.439541901245169,3.646584193364735,3.951674195181911,3.6527815629343943,4.581548664807057
H9,4.651540694428078,3.2091512644584013,3.1550077681553654,3.3095941543123395,3.7706786381186097,3.136254887190404,3.2513379484949976,3.6150001556941542,4.651540694428078,1.6477551948580402
H10,4.7579881573779295,4.742631290373856,4.7579881573779295,4.792999992740364,4.917974972164559,4.966022437441055,5.079601622056229,4.451258418602511,4.651338645834019,4.851000167008274
H11,4.908546023054394,4.559404372531508,5.104452709722368,5.245619352860157,4.908546023054394,5.036723388318593,5.299877355350485,1.8343358825183058,5.667638420538479,5.982692748327724
H12,2.9437816852239025,3.3368855316060944,2.9437816852239025,2.865508935556659,2.929990647773659,5.0168083170318845,3.3846115998434927,4.812517281019424,2.963294583025109,7.0374567028176935
H13,10.364104554612991,10.287953612670467,10.356319457885462,10.307969338034573,10.243804335503647,10.423584326132913,10.229175617823424,10.364104554612991,10.249543470725904,10.351364523700193
H14,5.6609494505432565,6.807950015536377,5.101419211803222,5.200754929250791,5.366274211210196,5.6609494505432565,17.866301522255338,6.29622338479329,3.725027417051747,8.229430079445994
H15,4.816659064706396,4.2147159276287,4.816659064706396,4.570940991792838,4.63861621893279,7.141246513043828,4.659880714006318,4.491706348839607,4.684347876204327,4.500881741277531
H16,5.196787345225061,6.055650601034202,5.202220204399113,5.200856194455664,5.189887865010031,8.27658119047739,5.214560473637324,8.909139657049028,5.196787345225061,6.594419187178996
H17,1.4992216782690697,1.6638819988548084,1.4922258716851367,1.5148969686593974,1.4992216782690697,1.598782521740576,1.8960895768358883,1.4855617862082435,1.9482565620798002,2.518816436852216
H18,3.180189005590667,3.180189005590667,2.9105798593502725,2.9459756570539217,6.23644987856327,3.0047745219896536,6.176262508815334,2.849258857588933,5.930910990344898,3.052564336547877
H19,2.477464097211479,3.341368621363963,3.2636147989213797,3.2511175466175586,2.2198467939419917,4.092296738867789,3.9144794675915695,2.477464097211479,4.9202639937230455,3.4118132461412523
H20,5.1567376207821365,3.923106929412473,5.1567376207821365,5.01060468249254,3.923158004298378,16.81139271897612,4.585610924279746,4.849454391042277,3.8358387890366648,5.483216061406589
H21,4.762064609873567,6.825235810222281,8.1846632924277,5.901861226564415,11.105019965516286,5.377499695158036,11.648458895203998,4.762064609873567,10.431185872513645,12.316969970679537
H22,1.8835187414179166,1.787649912235418,1.6908373265837304,1.8835187414179166,2.72097961670568,3.38889853279766,2.5192559430149566,1.9016182816349905,2.6546035860887724,1.8753285478122248
H23,7.036296846451062,7.036296846451062,17.283856407664505,12.21422209996477,5.636646023462669,15.04721810853156,19.706067686823598,2.8212572083032823,5.266548095912033,12.528552034113583
H24,10.193701344063957,7.504417035176863,8.930555197818343,7.218695585145188,5.954990761005888,7.706433621159168,17.145515481211802,10.193701344063957,3.1263536328518735,3.117380559453234
H25,5.666887176277288,5.6332583659008115,4.778680531161646,4.629797055232002,8.639231149007218,3.839093162926725,9.23167663692718,5.666887176277288,6.830363295278024,4.253795578823708
H26,11.156311506793118,8.604387213934219,10.910791516601545,10.971516680999656,11.156311506793118,7.926462149239241,11.017881317702223,7.532181374395611,10.80347880723953,9.970535666479188
H27,7.761534935802211,5.464929541915201,7.793290114967435,6.0031178478012395,7.761534935802211,2.897070521049799,7.825029715853236,3.800070309126079,8.279934926632995,4.694610586498454
H28,11.267187264535144,12.361537186011567,17.74843540581344,16.065763246300506,7.67777876571267,12.556191014892292,5.675921385076208,23.288031262435748,6.306659981833679,11.267187264535144
H29,2.9030864069544595,3.3987672088546708,3.558311761787848,3.7811941829437057,4.649771849741561,2.9030864069544595,4.465292624284776,4.2679987334493585,4.389334451053176,8.576408129887895
H30,7.455608206521037,9.341061284213193,8.914018416032313,8.783171874314103,8.385378392657161,8.36747135073956,10.000843397022729,7.455608206521037,12.318932510731088,10.343237620314708
H31,2.121022801158196,5.842724303074698,7.512663058315205,7.220169779419597,6.334716733669494,8.634128210811786,6.3705471831350735,2.15642694390814,6.164946591416079,2.121022801158196
H32,5.564574788097415,5.564574788097415,7.223248840205976,6.920320652359235,6.001376525978922,8.426038278570747,6.004265810054231,1.8326228272594323,5.942522008327672,2.435606905569035
H33,7.980944251428977,8.554162192788676,10.61088983289982,9.900493581997708,8.846456658242092,9.18186719699984,7.980944251428977,12.408887584825393,7.8013123609150385,5.173455404068414
H34,4.476947067526936,4.688689898446169,4.433322100043944,4.899702120477613,6.390092913006919,4.7767898469415755,4.012381454431381,4.5210025517754335,4.318542854151981,4.476947067526936
H35,5.235529130790093,3.825983824777796,5.187953513588113,5.162870167262663,5.170351282485676,3.2357073367331206,5.21806788953047,6.662611233733918,5.235529130790093,5.266368500586579
H36,2.9686619934233964,4.991398132687063,6.181100343616738,5.374871978625491,4.4343029097928826,5.9809375657835355,4.437416569128204,2.9686619934233964,4.891342573063646,11.715013717433093
H37,8.815141407355128,11.31844454569041,10.04214995467156,10.335689041540402,15.975930746666197,8.815141407355128,11.629195804524668,18.409683172354658,11.373082885905742,11.790886252407285
H38,12.108459772825377,15.650085707564603,12.086701292768323,12.994270856504587,18.45558548129679,15.548557015316856,19.116298530658586,12.053840296822866,21.87428900234464,12.108459772825377
H39,1.704561743992585,7.3782958997854005,4.501089530745918,5.694523638651739,9.344929235000993,13.34242074319049,9.360497191999247,1.704561743992585,9.152439227882873,7.407436803448478
H40,4.172214065693687,3.133211628612778,2.9216674088957744,2.8492062166081222,2.3120794337489716,10.097336743722815,4.054707427269197,5.28206762472472,2.732126063407054,4.172214065693687
H41,7.700641861570412,7.700641861570412,10.068564496076219,8.704336962807565,9.818335759929111,3.7315105228768206,10.12480940738435,4.507850031794016,10.318394903232598,4.123262004658652
H42,3.25415846338475,3.564544854680382,3.2860657122777646,3.233652792179995,3.375523935880229,3.25415846338475,16.0212575576325,4.304392598450903,3.324833891041188,6.0549304717020815
H43,5.297344949178191,3.7667842067787256,4.131198231393873,3.3677086719762577,4.560711627989429,2.841119082411251,5.995532570933239,3.1004305284197646,3.2679272197946094,5.297344949178191
H44,3.6681384555528287,3.979499871950545,3.6208181044205494,3.57637059998381,3.3449792135692933,3.5981823965066906,13.920387171651061,3.45126474970522,3.184460025612395,3.6681384555528287
H45,2.5516436347313336,2.5968380023107285,2.5516436347313336,2.588242543840182,4.490227133674473,3.0921596949703147,4.475513420535402,2.2153185780884255,2.6030837712542,3.3434079891853026
H46,7.720917340965048,6.506777118863641,7.720917340965048,7.630545040706596,8.290058156895752,6.77949575262244,7.336423377986606,7.193289404893373,5.472489492431206,9.998021065368324
H47,2.53589002483,2.633898874400655,2.53589002483,2.6235530916350753,4.175421265730389,3.0579209455701766,4.475261964316538,2.223804368337954,2.559142742506475,3.3489474469034843
H48,7.736526275428569,7.70074350276483,7.147376080715836,7.157705000838041,7.438148416735585,7.227321642975694,7.658186645304868,11.516798745415393,7.736526275428569,6.942954588093905
H49,3.39864488351949,3.913714018880986,3.39864488351949,3.6267647885114505,5.31216914856755,4.171177506173338,5.769923641425285,4.49025464434399,5.552784347969584,3.0249721560814034
H50,1.5330287157711753,2.688591312114962,2.604673337258408,2.2656815921558686,2.9192071491546914,3.403407631749243,4.08698645526007,1.5330287157711753,4.635638988450486,1.3172502105286568
H51,13.816734578128752,15.010846394967228,19.05075925341472,17.691873170960275,9.738890003845286,13.17832661500409,8.788810534187059,31.920694603949713,13.816734578128752,10.812610076137844
H52,3.3509640806026044,2.8483253454746316,3.4918044700000586,3.4277574640890216,3.8140645611050488,15.694786776212302,3.3509640806026044,2.7118284102547157,6.53569905066282,3.5956582507584613
H53,6.322559153977199,6.898272012027691,5.137584318499022,5.027423454334854,5.333578541610581,6.322559153977199,8.100198854558965,14.875582614988453,4.386926375663121,8.77890984209683
H54,10.44754424071419,8.839074664988063,7.799253974455725,8.559559286148067,9.117027956420227,6.344898688599697,12.342636818319642,10.44754424071419,10.79979387242197,5.040167421028297
H55,3.9999837129043105,2.587012872832221,2.744997095881237,2.800612909700391,2.4651874785585353,3.1067218163346446,4.775716624913343,2.3912222200599196,2.574167759483084,3.9999837129043105
H56,5.970393523743104,9.040146971266386,8.941192835787895,8.921800952090875,8.865239302790764,12.199955730376807,8.837429093503408,10.031213276470966,9.103272604769048,5.970393523743104
H57,2.17010685905904,3.067808316006757,2.17010685905904,3.083535841223816,1.9677153346858907,2.070916721980076,6.847123567526986,4.684836726427336,2.382434612314896,3.421040247696706
H58,6.891010100742415,6.919799849024337,7.209913827984613,7.14711462730518,6.891010100742415,7.583913389290661,7.124582632469201,5.570687461244201,6.993173059096963,10.004694271939444
H59,6.693403731384484,6.292426432369055,7.356418881821372,6.693403731384484,6.005268174692619,7.928670319564632,5.751990518047113,4.944248815524653,5.746209234769615,6.85421288991821
H60,9.347729314221716,5.023712870021287,4.86807998760094,5.2729739168676515,6.511719406890484,4.983044319289348,5.402862934893153,9.347729314221716,7.800805153262466,7.503094650294168
H61,9.30396219416123,8.006111785657733,9.30396219416123,8.901376528604112,9.58864876478301,9.098842007508434,7.224742965907262,5.6796255787500725,8.001705323228778,8.103496931910026
H62,14.658574512727732,15.370263040543557,15.546372837995904,15.919919115227932,27.242554343013982,25.262666298885662,18.67996114940517,18.301413789413605,17.56229650714655,14.658574512727732
H63,5.837419094795136,4.495295944856246,3.804342304926406,3.8056865795138144,3.809719600805612,6.144217806115095,3.801780343850715,6.233003408775863,3.8069043855699016,5.837419094795136
H64,13.385036534060685,12.1104251862152,14.339557180867086,13.385036534060685,10.6197955048803,9.89663017214439,10.6504271412207,9.729803176530263,10.3505029791671,18.37762276529438
H65,4.158371094500594,3.815723959181044,4.158371094500594,4.2756784191890915,4.824194492658916,3.7592856351945736,4.961211437378505,4.852246260351065,4.788709103181497,4.1083970997185775
H66,3.8554202924942107,4.704177963295521,3.904258311711676,4.266168359247026,5.706437524462818,3.8554202924942107,5.638827750923897,9.857854718809207,5.427944949254635,8.71614446042362
H67,4.5215563699405115,4.126621245569845,4.389864555958438,4.5215563699405115,4.381443479526103,5.537067307437423,4.398295883900669,5.27987904811174,4.313539518229504,6.554540493606059
H68,5.430519052091077,1.8191259043091084,2.449112181344774,2.006627594533523,2.4726084647038005,6.079233713491037,2.477104790441892,5.6721673806252895,2.3717022243199026,5.430519052091077
H69,13.314261760769208,15.65488857251587,13.277222342744894,13.257980512914195,13.272959853583547,16.573180401094362,13.314261760769208,25.744969804224677,13.203504444453754,22.112410069541088
H70,9.354456904207293,3.280339937919273,5.750232644578281,4.208587764199588,3.6622753210934706,9.354456904207293,4.042214604986076,3.0728327789460357,4.377304837325015,3.7516627614023537
H71,11.83656191252834,9.971032194498953,10.391886615781777,10.75538775414349,11.83656191252834,12.000137635395253,11.176746739146866,10.011383045386513,9.599693933556033,4.579472638946201
H72,21.83183906195351,29.761339412014813,21.454134191968635,21.43788972283549,23.62028985860122,21.83183906195351,19.55227813730092,52.1694196311342,30.50538677400655,41.11721208502757
H73,17.1938452163196,17.686142469517165,18.093257125835642,18.026438199599973,20.680508293367005,17.197558502458246,18.174966571002095,17.115795301189458,17.1938452163196,19.330139347976445
H74,11.022921044397133,11.085699648328404,10.86644029262889,10.849932910349093,11.758815083597254,11.094548391171577,11.806325092965908,10.74866420875702,11.807715007078208,11.022921044397133
H75,7.0030419151349665,7.2915509449070575,7.433375616909873,7.32259722302316,7.0030419151349665,8.327055164049815,6.986136865339102,7.74708769755564,6.966146399662637,8.223704006523059
