ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,168,True,True,True,1,26,3739.7473867489057,2.317553619464279,2483.0957589574964,-0.2684181253243372,709.46435546875,-672.0200000000004,0.95,564.5865491209134,263.7037332543118,2.823051719048845,195.51878853865077,0.9834710968678814,,rmse,2554.7856037678516,,,4792.755008464022,0.5236667992305912,4124.717331739572,-3.022976250105489,False,GrandRapids-organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 3, 'max_features': None}",minmax,169,True,True,True,0,26,650573.6870999706,0.1225090417651885,448122.4036958401,0.6014093230564145,3300414.319942091,4245947.2,0.95,168367.05550439085,95704.81672031424,0.023006469782319214,75025.98323764207,0.9836449221133188,,rmse,618417.053259584,,,650573.6870999706,0.1225090417651885,448122.4036958401,0.6014093230564145,True,GreatLakes-conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,False,,0,26,728731.311202169,0.13607490245608078,510116.7604125525,0.4998860040569837,3205154.9215419856,4245947.2,0.95,438857.60352789704,229374.58586893688,0.046855816727950736,160918.45412446454,0.9060545783781403,,,,"['knn', 'xgboost', 'gbt', 'elasticnet', 'mlp']",,728731.311202169,0.13607490245608078,510116.7604125525,0.4998860040569837,False,GreatLakes-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,169,True,True,True,0,26,741046.1880696416,0.1325078125800388,504540.80576923076,0.4828402657489227,3136596.25,4245947.2,0.95,144710.59647101304,82311.71741856878,0.019036932482333253,61969.974195804185,0.9879021456556183,,rmse,607323.7762321319,,,741046.1880696416,0.1325078125800388,504540.80576923076,0.4828402657489227,False,GreatLakes-conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,False,,0,26,741364.198614084,0.13891204612837768,518555.8459765111,0.4823963054675202,3188378.1888120086,4245947.2,0.95,449053.2667042488,228291.25376974244,0.0467302103959818,159992.39936736357,0.9069398878976594,,,,"['knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'svr', 'mlr']","(0.24068699293404341, 0.19638415680831, 0.1869485845527578, 0.18327563788792714, 0.11204057514886738, 0.08066405266809416, 0.0)",741364.198614084,0.13891204612837768,518555.8459765111,0.4823963054675202,False,GreatLakes-conventional
prophet,prophet,[],{},,169,False,False,True,0,26,772407.2999736367,0.16552734896311516,584459.5023576241,0.43814158770421296,3413274.924579273,4245947.2,0.95,989363.7880891723,501200.42121568625,0.11273705266211125,377510.4715656873,0.5062191300514747,,,,,,772407.2999736367,0.16552734896311516,584459.5023576241,0.43814158770421296,False,GreatLakes-conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},minmax,169,True,True,True,0,26,817272.6348944007,0.15600003947526647,577663.1159756789,0.37097477267496615,3086220.114941013,4245947.2,0.95,952657.0312889529,497610.6002978544,0.10161826214214528,352180.5727647021,0.5578554547660006,,rmse,838210.0220552468,,,817272.6348944007,0.15600003947526647,577663.1159756789,0.37097477267496615,False,GreatLakes-conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",scale,169,True,True,True,0,26,818084.7251167494,0.16696182599632906,608056.7083857309,0.36972407857872436,3202249.372829717,4245947.2,0.95,1105896.9918950987,529636.4532405455,0.1075033549481394,367208.1415862039,0.4991118444531777,,rmse,706485.4053834708,,,818084.7251167494,0.16696182599632906,608056.7083857309,0.36972407857872436,False,GreatLakes-conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 2, 'weights': 'distance'}",minmax,169,True,True,True,0,26,859610.910439548,0.17766649007787125,657510.659996958,0.30411418083022423,2929867.6273705955,4245947.2,0.95,0.0,0.0,0.0,0.0,1.0,,rmse,555237.5199952213,,,859610.910439548,0.17766649007787125,657510.659996958,0.30411418083022423,False,GreatLakes-conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 1.8, 'l1_ratio': 0.25}",scale,169,True,True,True,0,26,860818.7383264634,0.1552479139459561,574058.8054853329,0.30215724709840974,3456647.0375675242,4245947.2,0.95,1006897.9574526119,556371.6395719503,0.11303102136488909,388390.52367461444,0.44726751022769096,,rmse,622735.2878887606,,,860818.7383264634,0.1552479139459561,574058.8054853329,0.30215724709840974,False,GreatLakes-conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 3, 'epsilon': 0.01}",minmax,169,True,True,True,0,26,1076158.0597630518,0.21881970546562896,778931.2663693519,-0.09065218473303194,3197341.365005162,4245947.2,0.95,1413575.727192694,759779.6787433597,0.15766518642136695,540308.523756805,-0.03076668187016529,,rmse,743374.3662869796,,,1076158.0597630518,0.21881970546562896,778931.2663693519,-0.09065218473303194,False,GreatLakes-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,True,1,26,36741.34715652914,3.631001228913889,21931.784148794322,0.05787350325819207,-9010.5234375,-137828.58,0.95,1704.4598350791205,887.6514314784924,0.1861177406807669,644.7412402386731,0.9992870935118637,,rmse,41155.55889429058,,,39464.1295598242,0.1529360662358101,31174.913921180138,0.2839426456535187,True,GreatLakes-organic
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,168,True,True,True,1,26,37889.185170306904,1.1140810611251388,22814.409613632368,-0.001912043992922774,1767.035608239376,-137828.58,0.95,64592.218790140054,33259.64973870953,1.1327092267089596,21091.412851779827,-0.0008822658766136637,,rmse,33731.02274093328,,,43221.41358743041,0.1848015426853903,34280.07041306343,0.14110378975472326,False,GreatLakes-organic
